transaction_id,timestamp,merchant,provider,payment_method,country,issuing_bank,status,decline_code,amount,currency,retry_flag,original_transaction_id,recovered_after_retry,processing_time_ms,amount_usd
tx_f3ae15f21936,2026-08-29 04:12:17.176354,Merchant_A,Stripe,wallet,BR,,approved,,359.47,BRL,False,,False,299,71.89
tx_682d19785e66,2026-08-29 04:12:17.608354,Merchant_A,dLocal,card,MX,BBVA,approved,,1223.84,MXN,False,,False,622,67.31
tx_e1866afcc6b1,2026-08-29 04:12:18.040354,Merchant_A,Stripe,card,MX,Santander,approved,,782.92,MXN,False,,False,292,43.06
tx_547f29b4c79d,2026-08-29 04:12:18.472354,Merchant_C,Stripe,cash_in_store,MX,,approved,,1689.61,MXN,False,,False,367,92.93
tx_558e33462e64,2026-08-29 04:12:18.904354,Merchant_B,Stripe,PIX,BR,,approved,,204.88,BRL,False,,False,350,40.98
tx_238f6b8d11cf,2026-08-29 04:12:19.336354,Merchant_A,dLocal,wallet,MX,,approved,,668.29,MXN,False,,False,384,36.76
tx_f8cb030df89a,2026-08-29 04:12:19.768354,Merchant_A,Adyen,card,MX,BBVA,approved,,1020.98,MXN,False,,False,187,56.15
tx_d0c8db5b3cd8,2026-08-29 04:12:20.200354,Merchant_B,dLocal,PSE,CO,,approved,,12000.0,COP,False,,False,372,3.0
tx_46b341d64497,2026-08-29 04:12:20.632354,Merchant_B,dLocal,card,BR,Banco do Brasil,approved,,117.95,BRL,False,,False,477,23.59
tx_9819f9e8cd9f,2026-08-29 04:12:21.064354,Merchant_C,dLocal,PSE,CO,,approved,,56438.31,COP,False,,False,270,14.11
tx_38e6a719e5c2,2026-08-29 04:12:21.496354,Merchant_A,Stripe,wallet,BR,,approved,,514.5,BRL,False,,False,293,102.9
tx_77ad383637fd,2026-08-29 04:12:21.928354,Merchant_A,Stripe,card,CO,Davivienda,approved,,124726.97,COP,False,,False,203,31.18
tx_859e8966c134,2026-08-29 04:12:22.360354,Merchant_B,Stripe,PIX,BR,,approved,,192.9,BRL,False,,False,318,38.58
tx_abb6a1c40e3d,2026-08-29 04:12:22.792354,Merchant_B,dLocal,wallet,BR,,approved,,95.84,BRL,False,,False,485,19.17
tx_266d6a218059,2026-08-29 04:12:23.224354,Merchant_C,Stripe,wallet,BR,,approved,,183.9,BRL,False,,False,288,36.78
tx_6a1aa2239e8a,2026-08-29 04:12:23.656354,Merchant_B,Adyen,wallet,MX,,declined,DO_NOT_HONOR,599.15,MXN,False,,False,526,32.95
tx_c4bf1b490c2e,2026-08-29 04:12:24.088354,Merchant_A,Stripe,wallet,MX,,approved,,893.25,MXN,False,,False,230,49.13
tx_6784dae398dc,2026-08-29 04:12:24.520354,Merchant_B,Stripe,wallet,MX,,declined,INVALID_CARD,599.15,MXN,True,tx_6a1aa2239e8a,False,371,32.95
tx_462c7f122135,2026-08-29 04:12:24.952354,Merchant_B,Stripe,PIX,BR,,approved,,84.67,BRL,False,,False,325,16.93
tx_420e5437d0c7,2026-08-29 04:12:25.384354,Merchant_C,dLocal,PIX,BR,,approved,,28.0,BRL,False,,False,280,5.6
tx_5d5589470bcd,2026-08-29 04:12:25.816354,Merchant_C,Adyen,PSE,CO,,approved,,133780.29,COP,False,,False,426,33.45
tx_e70db3aea196,2026-08-29 04:12:26.248354,Merchant_C,Adyen,card,MX,BBVA,approved,,985.68,MXN,False,,False,349,54.21
tx_dac8e266c303,2026-08-29 04:12:26.680354,Merchant_C,Stripe,cash_in_store,MX,,approved,,749.45,MXN,False,,False,199,41.22
tx_e0b9eaf631bd,2026-08-29 04:12:27.112354,Merchant_B,Adyen,cash_in_store,MX,,declined,SUSPECTED_FRAUD,540.08,MXN,False,,True,318,29.7
tx_0158274769aa,2026-08-29 04:12:27.544354,Merchant_C,dLocal,card,MX,Banorte,approved,,1428.56,MXN,False,,False,481,78.57
tx_76e3f82da841,2026-08-29 04:12:27.976354,Merchant_B,Stripe,PSE,CO,,approved,,12000.0,COP,False,,False,334,3.0
tx_8e9953f715f2,2026-08-29 04:12:28.408354,Merchant_B,dLocal,card,BR,Itau,approved,,218.39,BRL,False,,False,358,43.68
tx_993784ed9b8c,2026-08-29 04:12:28.840354,Merchant_C,dLocal,card,BR,Bradesco,approved,,377.87,BRL,False,,False,563,75.57
tx_a303819823d8,2026-08-29 04:12:29.272354,Merchant_A,dLocal,PIX,BR,,approved,,429.0,BRL,False,,False,339,85.8
tx_11b850866f3a,2026-08-29 04:12:29.704354,Merchant_B,Stripe,card,CO,Bancolombia,approved,,98355.13,COP,False,,False,334,24.59
tx_9e518613c85f,2026-08-29 04:12:30.136354,Merchant_C,Adyen,card,MX,Santander,approved,,1387.77,MXN,False,,False,316,76.33
tx_464a50a61488,2026-08-29 04:12:30.568354,Merchant_A,Adyen,wallet,BR,,approved,,250.29,BRL,False,,False,260,50.06
tx_714767e16ffc,2026-08-29 04:12:31.000354,Merchant_C,dLocal,cash_in_store,MX,,approved,,301.9,MXN,False,,False,537,16.6
tx_a0aa79725c80,2026-08-29 04:12:31.432354,Merchant_C,Adyen,PIX,BR,,approved,,497.0,BRL,False,,False,353,99.4
tx_f966c504ee00,2026-08-29 04:12:31.864354,Merchant_A,Stripe,wallet,MX,,approved,,1401.77,MXN,False,,False,337,77.1
tx_9669199695b9,2026-08-29 04:12:32.296354,Merchant_A,Stripe,card,BR,Itau,approved,,176.78,BRL,False,,False,337,35.36
tx_91dbe1dfc4dd,2026-08-29 04:12:32.728354,Merchant_A,dLocal,card,CO,Davivienda,approved,,227662.56,COP,False,,False,435,56.92
tx_af5b99b8e243,2026-08-29 04:12:33.160354,Merchant_C,dLocal,cash_in_store,MX,,approved,,1682.32,MXN,False,,False,125,92.53
tx_dd54d35fc457,2026-08-29 04:12:33.592354,Merchant_A,Stripe,card,CO,Banco de Bogota,approved,,177533.18,COP,False,,False,316,44.38
tx_46c0a571bbe7,2026-08-29 04:12:34.024354,Merchant_C,Stripe,wallet,CO,,approved,,99069.49,COP,False,,False,316,24.77
tx_ba21934f6f2c,2026-08-29 04:12:34.456354,Merchant_B,dLocal,wallet,MX,,approved,,90.0,MXN,False,,False,413,4.95
tx_9c8c50fdc3ab,2026-08-29 04:12:34.888354,Merchant_A,dLocal,wallet,MX,,approved,,1078.56,MXN,False,,False,617,59.32
tx_dc742d312eab,2026-08-29 04:12:35.320354,Merchant_A,Stripe,PSE,CO,,approved,,83721.08,COP,False,,False,249,20.93
tx_1a5e26b4583e,2026-08-29 04:12:35.752354,Merchant_A,dLocal,cash_in_store,MX,,approved,,649.12,MXN,False,,False,549,35.7
tx_52f576e7afa5,2026-08-29 04:12:36.184354,Merchant_A,Adyen,wallet,MX,,approved,,1064.38,MXN,False,,False,312,58.54
tx_957b439f1247,2026-08-29 04:12:36.616354,Merchant_A,Adyen,card,MX,Citibanamex,approved,,1156.63,MXN,False,,False,368,63.61
tx_ecab5841e266,2026-08-29 04:12:37.048354,Merchant_B,Adyen,wallet,CO,,declined,INVALID_CARD,187805.15,COP,False,,True,296,46.95
tx_9b8f17dcc217,2026-08-29 04:12:37.480354,Merchant_A,Stripe,wallet,CO,,approved,,97063.65,COP,False,,False,280,24.27
tx_747d30f47d1e,2026-08-29 04:12:37.912354,Merchant_B,Stripe,wallet,CO,,approved,,187805.15,COP,True,tx_ecab5841e266,True,200,46.95
tx_c1051a994300,2026-08-29 04:12:38.344354,Merchant_A,Stripe,wallet,BR,,approved,,327.38,BRL,False,,False,329,65.48
tx_9e88de3751d4,2026-08-29 04:12:38.776354,Merchant_A,dLocal,card,BR,Banco do Brasil,approved,,280.82,BRL,False,,False,411,56.16
tx_caf6bfffba01,2026-08-29 04:12:39.208354,Merchant_C,dLocal,card,MX,BBVA,approved,,192.31,MXN,False,,False,389,10.58
tx_f8ccf73b141b,2026-08-29 04:12:39.640354,Merchant_B,Adyen,card,BR,Nubank,approved,,225.17,BRL,False,,False,287,45.03
tx_d6ed69263fa2,2026-08-29 04:12:40.072354,Merchant_C,Adyen,PIX,BR,,approved,,254.19,BRL,False,,False,396,50.84
tx_5827bcfca2a2,2026-08-29 04:12:40.504354,Merchant_A,Adyen,cash_in_store,MX,,declined,INSUFFICIENT_FUNDS,1843.09,MXN,False,,True,375,101.37
tx_a9257f9741c3,2026-08-29 04:12:40.936354,Merchant_B,dLocal,cash_in_store,MX,,approved,,540.08,MXN,True,tx_e0b9eaf631bd,True,470,29.7
tx_2c8dc401354f,2026-08-29 04:12:41.368354,Merchant_A,Adyen,wallet,MX,,approved,,862.78,MXN,False,,False,187,47.45
tx_f64caebff441,2026-08-29 04:12:41.800354,Merchant_B,dLocal,wallet,BR,,approved,,275.76,BRL,False,,False,447,55.15
tx_0caedb65ca6a,2026-08-29 04:12:42.232354,Merchant_B,dLocal,card,BR,Bradesco,approved,,674.12,BRL,False,,False,416,134.82
tx_33a02cb1275e,2026-08-29 04:12:42.664354,Merchant_C,Stripe,PIX,BR,,approved,,328.25,BRL,False,,False,307,65.65
tx_6db5cd2591df,2026-08-29 04:12:43.096354,Merchant_A,dLocal,wallet,CO,,approved,,38192.54,COP,False,,False,577,9.55
tx_d2e36cb5ceec,2026-08-29 04:12:43.528354,Merchant_A,Stripe,wallet,CO,,approved,,172635.31,COP,False,,False,369,43.16
tx_7d7a89e137fd,2026-08-29 04:12:43.960354,Merchant_B,Stripe,cash_in_store,MX,,declined,DO_NOT_HONOR,445.31,MXN,False,,False,415,24.49
tx_30aad88705b5,2026-08-29 04:12:44.392354,Merchant_C,Adyen,wallet,BR,,approved,,55.7,BRL,False,,False,412,11.14
tx_f2878744976b,2026-08-29 04:12:44.824354,Merchant_A,dLocal,cash_in_store,MX,,approved,,1843.09,MXN,True,tx_5827bcfca2a2,True,702,101.37
tx_28d6b43419cf,2026-08-29 04:12:45.256354,Merchant_A,Adyen,card,BR,Itau,approved,,121.51,BRL,False,,False,309,24.3
tx_a20f5c077756,2026-08-29 04:12:45.688354,Merchant_B,Stripe,cash_in_store,MX,,approved,,949.83,MXN,False,,False,272,52.24
tx_53c25bfb0b4f,2026-08-29 04:12:46.120354,Merchant_B,dLocal,wallet,BR,,approved,,31.89,BRL,False,,False,448,6.38
tx_fdda5b45d954,2026-08-29 04:12:46.552354,Merchant_A,Adyen,card,MX,Santander,approved,,368.85,MXN,False,,False,402,20.29
tx_7de4a48783e5,2026-08-29 04:12:46.984354,Merchant_C,dLocal,card,CO,Davivienda,approved,,55640.3,COP,False,,False,625,13.91
tx_dcffc4efac96,2026-08-29 04:12:47.416354,Merchant_A,Adyen,card,CO,Bancolombia,approved,,65172.27,COP,False,,False,331,16.29
tx_a03e0c0021bb,2026-08-29 04:12:47.848354,Merchant_A,Stripe,card,CO,Banco de Bogota,approved,,176946.21,COP,False,,False,217,44.24
tx_e02a9d454b17,2026-08-29 04:12:48.280354,Merchant_B,Adyen,cash_in_store,MX,,approved,,1013.73,MXN,False,,False,477,55.76
tx_22d754ccf03c,2026-08-29 04:12:48.712354,Merchant_B,Stripe,card,BR,Nubank,approved,,28.0,BRL,False,,False,323,5.6
