merchant,provider,payment_method,country,weekday,hour,attempts,approvals,declines,approval_rate,average_amount
Merchant_A,Adyen,PIX,BR,0,0,4,4,0,1.0,137.96
Merchant_A,Adyen,PIX,BR,0,1,4,2,2,0.5,133.42
Merchant_A,Adyen,PIX,BR,0,2,4,4,0,1.0,299.85
Merchant_A,Adyen,PIX,BR,0,3,2,2,0,1.0,270.32
Merchant_A,Adyen,PIX,BR,0,4,3,2,1,0.6667,315.25
Merchant_A,Adyen,PIX,BR,0,5,5,4,1,0.8,261.12
Merchant_A,Adyen,PIX,BR,0,6,13,12,1,0.9231,313.02
Merchant_A,Adyen,PIX,BR,0,7,24,21,3,0.875,281.97
Merchant_A,Adyen,PIX,BR,0,8,36,35,1,0.9722,286.57
Merchant_A,Adyen,PIX,BR,0,9,45,40,5,0.8889,269.77
Merchant_A,Adyen,PIX,BR,0,10,63,56,7,0.8889,280.12
Merchant_A,Adyen,PIX,BR,0,11,69,68,1,0.9855,275.83
Merchant_A,Adyen,PIX,BR,0,12,77,76,1,0.987,279.4
Merchant_A,Adyen,PIX,BR,0,13,80,76,4,0.95,312.99
Merchant_A,Adyen,PIX,BR,0,14,64,61,3,0.9531,266.59
Merchant_A,Adyen,PIX,BR,0,15,52,51,1,0.9808,267.71
Merchant_A,Adyen,PIX,BR,0,16,45,45,0,1.0,281.71
Merchant_A,Adyen,PIX,BR,0,17,50,49,1,0.98,289.59
Merchant_A,Adyen,PIX,BR,0,18,37,36,1,0.973,295.17
Merchant_A,Adyen,PIX,BR,0,19,46,44,2,0.9565,286.6
Merchant_A,Adyen,PIX,BR,0,20,26,25,1,0.9615,323.76
Merchant_A,Adyen,PIX,BR,0,21,19,18,1,0.9474,344.08
Merchant_A,Adyen,PIX,BR,0,22,5,5,0,1.0,301.61
Merchant_A,Adyen,PIX,BR,0,23,7,7,0,1.0,408.61
Merchant_A,Adyen,PIX,BR,1,0,6,6,0,1.0,343.52
Merchant_A,Adyen,PIX,BR,1,1,2,2,0,1.0,320.02
Merchant_A,Adyen,PIX,BR,1,2,2,2,0,1.0,337.28
Merchant_A,Adyen,PIX,BR,1,3,2,2,0,1.0,333.31
Merchant_A,Adyen,PIX,BR,1,4,4,4,0,1.0,91.68
Merchant_A,Adyen,PIX,BR,1,5,7,7,0,1.0,276.26
Merchant_A,Adyen,PIX,BR,1,6,10,10,0,1.0,323.24
Merchant_A,Adyen,PIX,BR,1,7,24,24,0,1.0,315.81
Merchant_A,Adyen,PIX,BR,1,8,24,23,1,0.9583,339.52
Merchant_A,Adyen,PIX,BR,1,9,64,60,4,0.9375,302.94
Merchant_A,Adyen,PIX,BR,1,10,84,78,6,0.9286,279.83
Merchant_A,Adyen,PIX,BR,1,11,71,64,7,0.9014,302.53
Merchant_A,Adyen,PIX,BR,1,12,72,70,2,0.9722,280.21
Merchant_A,Adyen,PIX,BR,1,13,79,78,1,0.9873,264.78
Merchant_A,Adyen,PIX,BR,1,14,59,54,5,0.9153,341.66
Merchant_A,Adyen,PIX,BR,1,15,54,51,3,0.9444,272.47
Merchant_A,Adyen,PIX,BR,1,16,56,53,3,0.9464,302.54
Merchant_A,Adyen,PIX,BR,1,17,61,57,4,0.9344,289.74
Merchant_A,Adyen,PIX,BR,1,18,48,45,3,0.9375,285.37
Merchant_A,Adyen,PIX,BR,1,19,39,35,4,0.8974,305.59
Merchant_A,Adyen,PIX,BR,1,20,34,31,3,0.9118,337.54
Merchant_A,Adyen,PIX,BR,1,21,17,14,3,0.8235,242.06
Merchant_A,Adyen,PIX,BR,1,22,12,10,2,0.8333,244.78
Merchant_A,Adyen,PIX,BR,1,23,13,13,0,1.0,255.56
