incident_id,root_cause_type,start_time,end_time,candidate_count,validated_windows,provider,issuing_bank,merchant,payment_method,country,attempts,approvals,observed_approval_rate,expected_approval_rate,approval_rate_drop,maximum_z_score,dominant_decline_code,source_candidates,ground_truth_ids,average_injected_share
INC-E7A0746B,issuing_bank,2026-08-31 10:03:00,2026-08-31 10:11:00,1,9,,Santander,Merchant_B,,MX,526,463,0.8802281368821293,0.9756097560975608,0.09538161921543153,6.028091789695969,INSUFFICIENT_FUNDS,CAND-C457F3F3,,0.0
INC-EC5ED29E,issuing_bank,2026-08-31 10:04:00,2026-08-31 10:11:00,3,11,,Itau,Merchant_A|Merchant_C,,BR,945,794,0.8402116402116402,0.9390808610416453,0.09886922083000516,7.483314773547886,PROCESSOR_ERROR,CAND-90FE608B|CAND-80C76A10|CAND-ED9B9818,INC-001,0.21571710112451403
INC-794E9BC2,issuing_bank,2026-08-31 10:05:00,2026-08-31 10:11:00,2,11,,BBVA,Merchant_A,,MX,874,606,0.6933638443935927,0.9306698002350177,0.237305955841425,17.90538626064397,ISSUER_UNAVAILABLE,CAND-01D5F81C|CAND-E7442211,INC-002,0.38166246829338424
INC-5DF0B244,issuing_bank,2026-08-31 10:03:00,2026-08-31 10:09:00,2,8,,Banorte,Merchant_B|Merchant_C,,MX,462,403,0.8722943722943723,0.9549858386294556,0.08269146633508329,4.157609203101506,INSUFFICIENT_FUNDS,CAND-DF1570F6|CAND-A42E4C7D,,0.0
INC-C02644F7,provider,2026-08-31 10:04:00,2026-08-31 10:07:00,4,16,Adyen,,,PIX|card|wallet,BR,1076,572,0.5315985130111525,0.907669474284348,0.3760709612731955,17.51644762015811,PROCESSOR_ERROR,CAND-ADD80A42|CAND-0CA8ABD7|CAND-EBFA81EB|CAND-9F893C5C,INC-001,1.0
INC-F2FDC535,decline_code,2026-08-31 10:04:00,2026-08-31 10:10:00,14,47,,Bradesco|Nubank,Merchant_A|Merchant_B|Merchant_C,PIX|card|wallet,BR,5826,4599,0.7893923789907312,0.9206648764364725,0.13127249744574132,10.258260108443766,PROCESSOR_ERROR,CAND-00F032FA|CAND-BC59141D|CAND-C4D8FF5E|CAND-61696427|CAND-5E08AB61|CAND-410C00E7|CAND-E85C9431|CAND-881FA664|CAND-19DD5ECB|CAND-3373B47C|CAND-1C9FC4C6|CAND-A117158E|CAND-7AECE265|CAND-6940C404,INC-001,0.31675858678667307
INC-C2966A0D,issuing_bank,2026-08-31 10:04:00,2026-08-31 10:07:00,1,4,,Citibanamex,Merchant_C,,MX,233,192,0.8240343347639485,0.925,0.10096566523605155,3.609358681683476,DO_NOT_HONOR,CAND-786B483A,,0.0
INC-AF31345B,issuing_bank,2026-08-31 10:07:00,2026-08-31 10:08:00,1,2,,Banco do Brasil,Merchant_B,,BR,136,105,0.7720588235294118,0.8913043478260869,0.11924552429667512,3.2302401179342977,INVALID_CARD,CAND-7CDDE17E,INC-001,0.2065972222222222
INC-B18DF57B,provider,2026-08-31 10:07:00,2026-08-31 10:08:00,2,2,Adyen,,,card|cash_in_store,MX,85,66,0.7764705882352941,0.9225701527096312,0.14609956447433703,5.692750425533114,ISSUER_UNAVAILABLE,CAND-4B9793D0|CAND-962D28A8,INC-002,0.05555555555555555
INC-CF688512,provider,2026-08-31 10:08:00,2026-08-31 10:08:00,1,1,dLocal,,,PIX,BR,52,45,0.8653846153846154,0.9567901234567902,0.09140550807217473,3.2417101757442133,SUSPECTED_FRAUD,CAND-36DED35A,,0.0
