minute,merchant,provider,payment_method,country,issuing_bank,attempts,approvals,declines,average_amount,dominant_decline_code,injected_incident_id,approval_rate,weekday,hour
2026-08-31 10:00:00,Merchant_A,Adyen,PIX,BR,,18,17,1,,INSUFFICIENT_FUNDS,,0.9444,0,10
2026-08-31 10:00:00,Merchant_A,Adyen,PSE,CO,,18,17,1,,INSUFFICIENT_FUNDS,,0.9444,0,10
2026-08-31 10:00:00,Merchant_A,Adyen,card,BR,Banco do Brasil,4,4,0,,,,1.0,0,10
2026-08-31 10:00:00,Merchant_A,Adyen,card,BR,Bradesco,1,1,0,,,,1.0,0,10
2026-08-31 10:00:00,Merchant_A,Adyen,card,BR,Itau,5,5,0,,,,1.0,0,10
2026-08-31 10:00:00,Merchant_A,Adyen,card,BR,Nubank,2,2,0,,,,1.0,0,10
2026-08-31 10:00:00,Merchant_A,Adyen,card,CO,Banco de Bogota,9,7,2,,DO_NOT_HONOR,,0.7778,0,10
2026-08-31 10:00:00,Merchant_A,Adyen,card,CO,Bancolombia,5,4,1,,INVALID_CARD,,0.8,0,10
2026-08-31 10:00:00,Merchant_A,Adyen,card,CO,Davivienda,1,1,0,,,,1.0,0,10
2026-08-31 10:00:00,Merchant_A,Adyen,card,MX,BBVA,2,2,0,,,,1.0,0,10
2026-08-31 10:00:00,Merchant_A,Adyen,card,MX,Banorte,5,4,1,,SUSPECTED_FRAUD,,0.8,0,10
2026-08-31 10:00:00,Merchant_A,Adyen,card,MX,Citibanamex,4,4,0,,,,1.0,0,10
2026-08-31 10:00:00,Merchant_A,Adyen,card,MX,Santander,3,3,0,,,,1.0,0,10
2026-08-31 10:00:00,Merchant_A,Adyen,cash_in_store,MX,,15,14,1,,DO_NOT_HONOR,,0.9333,0,10
2026-08-31 10:00:00,Merchant_A,Adyen,wallet,BR,,17,17,0,,,,1.0,0,10
2026-08-31 10:00:00,Merchant_A,Adyen,wallet,CO,,17,16,1,,INSUFFICIENT_FUNDS,,0.9412,0,10
2026-08-31 10:00:00,Merchant_A,Adyen,wallet,MX,,16,12,4,,DO_NOT_HONOR,,0.75,0,10
2026-08-31 10:00:00,Merchant_A,Stripe,PIX,BR,,13,12,1,,DO_NOT_HONOR,,0.9231,0,10
2026-08-31 10:00:00,Merchant_A,Stripe,PSE,CO,,9,6,3,,INSUFFICIENT_FUNDS,,0.6667,0,10
2026-08-31 10:00:00,Merchant_A,Stripe,card,BR,Banco do Brasil,6,5,1,,SUSPECTED_FRAUD,,0.8333,0,10
2026-08-31 10:00:00,Merchant_A,Stripe,card,BR,Bradesco,4,4,0,,,,1.0,0,10
2026-08-31 10:00:00,Merchant_A,Stripe,card,BR,Itau,2,2,0,,,,1.0,0,10
2026-08-31 10:00:00,Merchant_A,Stripe,card,BR,Nubank,5,4,1,,SUSPECTED_FRAUD,,0.8,0,10
2026-08-31 10:00:00,Merchant_A,Stripe,card,CO,Banco de Bogota,4,4,0,,,,1.0,0,10
2026-08-31 10:00:00,Merchant_A,Stripe,card,CO,Bancolombia,5,5,0,,,,1.0,0,10
2026-08-31 10:00:00,Merchant_A,Stripe,card,CO,Davivienda,4,4,0,,,,1.0,0,10
2026-08-31 10:00:00,Merchant_A,Stripe,card,MX,BBVA,7,7,0,,,,1.0,0,10
2026-08-31 10:00:00,Merchant_A,Stripe,card,MX,Banorte,1,1,0,,,,1.0,0,10
2026-08-31 10:00:00,Merchant_A,Stripe,card,MX,Citibanamex,4,2,2,,INSUFFICIENT_FUNDS,,0.5,0,10
2026-08-31 10:00:00,Merchant_A,Stripe,card,MX,Santander,3,3,0,,,,1.0,0,10
2026-08-31 10:00:00,Merchant_A,Stripe,cash_in_store,MX,,13,10,3,,INVALID_CARD,,0.7692,0,10
2026-08-31 10:00:00,Merchant_A,Stripe,wallet,BR,,21,20,1,,SUSPECTED_FRAUD,,0.9524,0,10
2026-08-31 10:00:00,Merchant_A,Stripe,wallet,CO,,15,14,1,,DO_NOT_HONOR,,0.9333,0,10
2026-08-31 10:00:00,Merchant_A,Stripe,wallet,MX,,15,14,1,,INSUFFICIENT_FUNDS,,0.9333,0,10
