transaction_id,timestamp,merchant,provider,payment_method,country,issuing_bank,amount,currency,status,decline_code,is_retry,injected_incident_id
live_bd89ddcaf0ce,2026-08-31 10:00:00,Merchant_A,Stripe,wallet,BR,,359.47,BRL,approved,,False,
live_4eabdb15864f,2026-08-31 10:00:00,Merchant_C,Stripe,cash_in_store,MX,,830.87,MXN,approved,,False,
live_ef0b42d5c7d7,2026-08-31 10:00:00,Merchant_A,Stripe,card,MX,Santander,1223.84,MXN,approved,,False,
live_752160443281,2026-08-31 10:00:00,Merchant_C,dLocal,wallet,BR,,523.68,BRL,approved,,False,
live_6d74251d0d23,2026-08-31 10:00:00,Merchant_B,Stripe,card,BR,Banco do Brasil,242.54,BRL,approved,,False,
live_2b27aa317e13,2026-08-31 10:00:00,Merchant_B,Stripe,card,MX,Citibanamex,782.93,MXN,approved,,False,
live_d817775266d0,2026-08-31 10:00:00,Merchant_C,Adyen,card,CO,Banco de Bogota,230544.9,COP,approved,,False,
live_31f9cbc85e02,2026-08-31 10:00:00,Merchant_A,dLocal,PSE,CO,,173720.43,COP,approved,,False,
live_65ba44fe81f5,2026-08-31 10:00:00,Merchant_A,Stripe,wallet,BR,,204.88,BRL,approved,,False,
live_4daa3e710a30,2026-08-31 10:00:00,Merchant_A,Stripe,wallet,MX,,1171.28,MXN,approved,,False,
live_78863d71f2c1,2026-08-31 10:00:00,Merchant_A,Adyen,PSE,CO,,87560.76,COP,approved,,False,
live_1c80c7485cf8,2026-08-31 10:00:00,Merchant_C,dLocal,card,BR,Bradesco,205.48,BRL,approved,,False,
live_0ffc60a00df6,2026-08-31 10:00:00,Merchant_B,dLocal,wallet,CO,,136937.36,COP,approved,,False,
live_7c3dd1b47155,2026-08-31 10:00:00,Merchant_A,Stripe,wallet,MX,,90.0,MXN,approved,,False,
live_0988a8c21b75,2026-08-31 10:00:00,Merchant_C,dLocal,wallet,MX,,90.0,MXN,approved,,False,
live_2f4ddb31fa99,2026-08-31 10:00:00,Merchant_C,Adyen,card,CO,Davivienda,80639.87,COP,approved,,False,
live_bab952317805,2026-08-31 10:00:00,Merchant_C,Adyen,wallet,BR,,117.95,BRL,approved,,False,
live_72b016983917,2026-08-31 10:00:00,Merchant_B,Stripe,card,CO,Banco de Bogota,141997.31,COP,approved,,False,
live_4d55834cd992,2026-08-31 10:00:00,Merchant_A,Stripe,cash_in_store,MX,,445.99,MXN,approved,,False,
live_c9872af06949,2026-08-31 10:00:00,Merchant_C,Stripe,PSE,CO,,21138.74,COP,approved,,False,
live_e5b7e29bbd97,2026-08-31 10:00:00,Merchant_C,Adyen,wallet,CO,,222595.41,COP,approved,,False,
live_7c19688c822a,2026-08-31 10:00:00,Merchant_C,dLocal,wallet,MX,,787.11,MXN,approved,,False,
live_938cf07d7cae,2026-08-31 10:00:00,Merchant_A,Adyen,card,CO,Banco de Bogota,124726.97,COP,declined,SUSPECTED_FRAUD,False,
live_6315496ca886,2026-08-31 10:00:00,Merchant_C,Stripe,cash_in_store,MX,,187.63,MXN,declined,SUSPECTED_FRAUD,False,
live_b53fa7566c5c,2026-08-31 10:00:00,Merchant_C,Stripe,card,BR,Nubank,192.9,BRL,approved,,False,
live_ab0aae36b977,2026-08-31 10:00:00,Merchant_A,dLocal,PIX,BR,,297.75,BRL,approved,,False,
live_0910ca2dbf69,2026-08-31 10:00:00,Merchant_B,Stripe,card,CO,Bancolombia,39430.45,COP,approved,,False,
live_6f69920b4593,2026-08-31 10:00:00,Merchant_A,dLocal,card,CO,Bancolombia,146298.86,COP,declined,INVALID_CARD,False,
live_62c41510682c,2026-08-31 10:00:00,Merchant_B,dLocal,cash_in_store,MX,,599.68,MXN,declined,INVALID_CARD,False,
live_f031cac80a50,2026-08-31 10:00:00,Merchant_C,dLocal,card,BR,Nubank,233.33,BRL,declined,INVALID_CARD,False,
live_3d0fb5cafc53,2026-08-31 10:00:00,Merchant_B,Adyen,wallet,BR,,183.73,BRL,approved,,False,
live_7268bc4d4f05,2026-08-31 10:00:00,Merchant_A,Adyen,card,MX,Santander,1826.14,MXN,approved,,False,
live_e8d8d6c71565,2026-08-31 10:00:00,Merchant_C,Stripe,card,BR,Itau,277.84,BRL,approved,,False,
live_5c802b175aa3,2026-08-31 10:00:00,Merchant_C,Stripe,wallet,MX,,371.14,MXN,approved,,False,
live_7d56ab78956a,2026-08-31 10:00:00,Merchant_C,dLocal,cash_in_store,MX,,1311.27,MXN,approved,,False,
live_712b16852f06,2026-08-31 10:00:00,Merchant_B,Stripe,card,CO,Bancolombia,34540.94,COP,approved,,False,
live_18dd822edf21,2026-08-31 10:00:00,Merchant_B,dLocal,card,CO,Banco de Bogota,134620.45,COP,approved,,False,
live_48af21dac5e7,2026-08-31 10:00:00,Merchant_B,Stripe,card,BR,Bradesco,28.0,BRL,approved,,False,
live_90c56f642555,2026-08-31 10:00:00,Merchant_B,Stripe,wallet,MX,,235.91,MXN,approved,,False,
live_ff2a307ed5a0,2026-08-31 10:00:00,Merchant_B,dLocal,card,MX,BBVA,998.43,MXN,declined,INSUFFICIENT_FUNDS,False,
live_65785d511433,2026-08-31 10:00:00,Merchant_A,Adyen,wallet,MX,,1269.23,MXN,approved,,False,
live_57521f816265,2026-08-31 10:00:00,Merchant_A,Stripe,PSE,CO,,131995.78,COP,declined,INSUFFICIENT_FUNDS,False,
live_4aa1d24824bd,2026-08-31 10:00:00,Merchant_B,Adyen,PSE,CO,,111904.62,COP,approved,,False,
live_8e69ed252f34,2026-08-31 10:00:00,Merchant_A,Stripe,wallet,CO,,98922.74,COP,approved,,False,
live_522e619228d1,2026-08-31 10:00:00,Merchant_A,dLocal,wallet,MX,,160.74,MXN,approved,,False,
live_f03d7ff8bb17,2026-08-31 10:00:00,Merchant_A,Stripe,card,BR,Itau,164.82,BRL,approved,,False,
live_591d22237779,2026-08-31 10:00:00,Merchant_A,dLocal,wallet,BR,,206.3,BRL,approved,,False,
live_c2544cf13921,2026-08-31 10:00:00,Merchant_C,dLocal,wallet,CO,,193998.56,COP,declined,SUSPECTED_FRAUD,False,
live_3baa5d347732,2026-08-31 10:00:00,Merchant_C,dLocal,wallet,MX,,1071.81,MXN,approved,,False,
live_1e391b6a8edf,2026-08-31 10:00:00,Merchant_C,dLocal,wallet,MX,,90.0,MXN,approved,,False,
live_fd08c324fb87,2026-08-31 10:00:00,Merchant_A,Adyen,cash_in_store,MX,,1062.04,MXN,approved,,False,
live_00a0f974ffb2,2026-08-31 10:00:00,Merchant_C,Adyen,card,MX,Banorte,707.46,MXN,approved,,False,
live_af6a22607d68,2026-08-31 10:00:00,Merchant_B,Stripe,PSE,CO,,72615.46,COP,approved,,False,
live_7484df4db229,2026-08-31 10:00:00,Merchant_C,Stripe,wallet,BR,,377.87,BRL,declined,SUSPECTED_FRAUD,False,
live_b3646fefa91c,2026-08-31 10:00:00,Merchant_A,Adyen,card,MX,BBVA,1415.5,MXN,approved,,False,
live_4cd42ad4d2bd,2026-08-31 10:00:00,Merchant_A,dLocal,PIX,BR,,429.0,BRL,approved,,False,
live_84ab1ccdbcbc,2026-08-31 10:00:00,Merchant_C,Adyen,PSE,CO,,61254.77,COP,approved,,False,
live_16d537143ade,2026-08-31 10:00:00,Merchant_B,Stripe,card,CO,Davivienda,98355.13,COP,approved,,False,
live_40de7378fa86,2026-08-31 10:00:00,Merchant_A,dLocal,PSE,CO,,143188.44,COP,approved,,False,
live_d53fbcdfa89d,2026-08-31 10:00:00,Merchant_A,dLocal,card,MX,BBVA,1387.77,MXN,approved,,False,
live_1a06ac621d05,2026-08-31 10:00:00,Merchant_B,Stripe,card,MX,Banorte,660.41,MXN,approved,,False,
live_4ab21ab773e4,2026-08-31 10:00:00,Merchant_B,Stripe,cash_in_store,MX,,807.17,MXN,approved,,False,
live_f8ba9d0bdcee,2026-08-31 10:00:00,Merchant_C,Adyen,wallet,CO,,42556.55,COP,declined,DO_NOT_HONOR,False,
live_e066e889305a,2026-08-31 10:00:00,Merchant_A,Stripe,wallet,MX,,301.9,MXN,approved,,False,
live_68a172119da6,2026-08-31 10:00:00,Merchant_B,dLocal,wallet,CO,,176876.81,COP,approved,,False,
live_700c641bf52c,2026-08-31 10:00:00,Merchant_A,Adyen,card,BR,Banco do Brasil,497.0,BRL,approved,,False,
live_7f899c9b2bf9,2026-08-31 10:00:00,Merchant_B,Adyen,card,CO,Bancolombia,114959.29,COP,approved,,False,
live_4a7ee4382af7,2026-08-31 10:00:00,Merchant_B,Adyen,card,CO,Davivienda,190247.3,COP,approved,,False,
live_75303b4a376a,2026-08-31 10:00:00,Merchant_C,dLocal,PSE,CO,,145314.52,COP,approved,,False,
live_792e07126bc8,2026-08-31 10:00:00,Merchant_A,dLocal,PSE,CO,,74841.62,COP,approved,,False,
live_14c2f6ec2290,2026-08-31 10:00:00,Merchant_B,dLocal,PSE,CO,,145297.69,COP,approved,,False,
live_0e2a49d240b2,2026-08-31 10:00:00,Merchant_A,Adyen,wallet,BR,,526.09,BRL,approved,,False,
