transaction_id,timestamp,merchant,provider,payment_method,country,issuing_bank,status,decline_code,is_retry
live_202608311000_0,2026-08-31 10:00:00,Merchant_A,Stripe,PIX,BR,,approved,,False
live_202608311000_1,2026-08-31 10:00:00,Merchant_A,dLocal,cash_in_store,MX,,approved,,False
live_202608311000_2,2026-08-31 10:00:00,Merchant_C,Stripe,PIX,BR,,approved,,False
live_202608311000_3,2026-08-31 10:00:00,Merchant_A,Stripe,cash_in_store,MX,,approved,,False
live_202608311000_4,2026-08-31 10:00:00,Merchant_C,Stripe,wallet,BR,,approved,,False
live_202608311000_5,2026-08-31 10:00:00,Merchant_B,Stripe,wallet,CO,,approved,,False
live_202608311000_6,2026-08-31 10:00:00,Merchant_A,Stripe,PIX,BR,,approved,,False
live_202608311000_7,2026-08-31 10:00:00,Merchant_A,Stripe,card,CO,Bancolombia,approved,,False
live_202608311000_8,2026-08-31 10:00:00,Merchant_B,Adyen,PIX,BR,,approved,,False
live_202608311000_9,2026-08-31 10:00:00,Merchant_C,Adyen,card,BR,Banco do Brasil,approved,,False
live_202608311000_10,2026-08-31 10:00:00,Merchant_B,dLocal,PIX,BR,,approved,,False
live_202608311000_11,2026-08-31 10:00:00,Merchant_C,Stripe,cash_in_store,MX,,approved,,False
live_202608311000_12,2026-08-31 10:00:00,Merchant_B,Stripe,card,MX,Citibanamex,approved,,False
live_202608311000_13,2026-08-31 10:00:00,Merchant_C,Adyen,wallet,MX,,approved,,False
live_202608311000_14,2026-08-31 10:00:00,Merchant_C,Adyen,wallet,BR,,approved,,False
live_202608311000_15,2026-08-31 10:00:00,Merchant_C,dLocal,cash_in_store,MX,,approved,,False
live_202608311000_16,2026-08-31 10:00:00,Merchant_A,Adyen,PSE,CO,,declined,DO_NOT_HONOR,False
live_202608311000_17,2026-08-31 10:00:00,Merchant_C,dLocal,card,BR,Nubank,approved,,False
live_202608311000_18,2026-08-31 10:00:00,Merchant_A,Stripe,wallet,MX,,approved,,False
live_202608311000_19,2026-08-31 10:00:00,Merchant_A,Stripe,wallet,BR,,approved,,False
live_202608311000_20,2026-08-31 10:00:00,Merchant_C,Adyen,wallet,CO,,approved,,False
live_202608311000_21,2026-08-31 10:00:00,Merchant_B,Stripe,cash_in_store,MX,,approved,,False
live_202608311000_22,2026-08-31 10:00:00,Merchant_B,dLocal,PIX,BR,,approved,,False
live_202608311000_23,2026-08-31 10:00:00,Merchant_B,Adyen,card,MX,Citibanamex,approved,,False
live_202608311000_24,2026-08-31 10:00:00,Merchant_A,Stripe,cash_in_store,MX,,approved,,False
live_202608311000_25,2026-08-31 10:00:00,Merchant_C,Adyen,card,BR,Banco do Brasil,approved,,False
live_202608311000_26,2026-08-31 10:00:00,Merchant_B,dLocal,wallet,CO,,approved,,False
live_202608311000_27,2026-08-31 10:00:00,Merchant_A,dLocal,card,BR,Nubank,approved,,False
live_202608311000_28,2026-08-31 10:00:00,Merchant_B,Stripe,PSE,CO,,approved,,False
live_202608311000_29,2026-08-31 10:00:00,Merchant_A,dLocal,PIX,BR,,declined,DO_NOT_HONOR,False
live_202608311000_30,2026-08-31 10:00:00,Merchant_A,dLocal,cash_in_store,MX,,approved,,False
live_202608311000_31,2026-08-31 10:00:00,Merchant_C,dLocal,card,BR,Bradesco,approved,,False
live_202608311000_32,2026-08-31 10:00:00,Merchant_A,dLocal,card,BR,Nubank,approved,,False
live_202608311000_33,2026-08-31 10:00:00,Merchant_A,Adyen,card,CO,Bancolombia,approved,,False
live_202608311000_34,2026-08-31 10:00:00,Merchant_C,Stripe,cash_in_store,MX,,approved,,False
live_202608311000_35,2026-08-31 10:00:00,Merchant_A,dLocal,card,MX,Citibanamex,declined,DO_NOT_HONOR,False
live_202608311000_36,2026-08-31 10:00:00,Merchant_A,Adyen,wallet,BR,,approved,,False
live_202608311000_37,2026-08-31 10:00:00,Merchant_A,dLocal,wallet,BR,,approved,,False
live_202608311000_38,2026-08-31 10:00:00,Merchant_B,Adyen,wallet,BR,,approved,,False
live_202608311000_39,2026-08-31 10:00:00,Merchant_C,Adyen,card,MX,Santander,approved,,False
live_202608311000_40,2026-08-31 10:00:00,Merchant_A,dLocal,card,BR,Bradesco,approved,,False
live_202608311000_41,2026-08-31 10:00:00,Merchant_C,dLocal,card,MX,BBVA,declined,DO_NOT_HONOR,False
live_202608311000_42,2026-08-31 10:00:00,Merchant_B,Stripe,card,BR,Nubank,approved,,False
live_202608311000_43,2026-08-31 10:00:00,Merchant_A,dLocal,cash_in_store,MX,,declined,DO_NOT_HONOR,False
live_202608311000_44,2026-08-31 10:00:00,Merchant_C,dLocal,card,CO,Davivienda,approved,,False
live_202608311000_45,2026-08-31 10:00:00,Merchant_A,Stripe,cash_in_store,MX,,approved,,False
live_202608311000_46,2026-08-31 10:00:00,Merchant_B,Adyen,wallet,CO,,approved,,False
live_202608311000_47,2026-08-31 10:00:00,Merchant_C,dLocal,card,MX,Citibanamex,approved,,False
live_202608311000_48,2026-08-31 10:00:00,Merchant_A,Stripe,card,MX,Citibanamex,approved,,False
live_202608311000_49,2026-08-31 10:00:00,Merchant_A,Adyen,card,CO,Bancolombia,approved,,False
live_202608311000_50,2026-08-31 10:00:00,Merchant_C,Stripe,cash_in_store,MX,,declined,DO_NOT_HONOR,False
live_202608311000_51,2026-08-31 10:00:00,Merchant_A,Stripe,card,MX,Citibanamex,approved,,False
live_202608311000_52,2026-08-31 10:00:00,Merchant_A,Adyen,card,MX,Citibanamex,approved,,False
live_202608311000_53,2026-08-31 10:00:00,Merchant_B,Adyen,PSE,CO,,approved,,False
live_202608311000_54,2026-08-31 10:00:00,Merchant_C,dLocal,wallet,BR,,approved,,False
live_202608311000_55,2026-08-31 10:00:00,Merchant_A,Adyen,card,MX,BBVA,approved,,False
live_202608311000_56,2026-08-31 10:00:00,Merchant_A,Stripe,PIX,BR,,approved,,False
live_202608311000_57,2026-08-31 10:00:00,Merchant_C,Stripe,cash_in_store,MX,,approved,,False
live_202608311000_58,2026-08-31 10:00:00,Merchant_A,Stripe,card,BR,Bradesco,approved,,False
live_202608311000_59,2026-08-31 10:00:00,Merchant_C,Stripe,wallet,BR,,approved,,False
live_202608311000_60,2026-08-31 10:00:00,Merchant_A,Adyen,wallet,BR,,approved,,False
live_202608311000_61,2026-08-31 10:00:00,Merchant_B,Adyen,cash_in_store,MX,,approved,,False
live_202608311000_62,2026-08-31 10:00:00,Merchant_A,Adyen,card,CO,Banco de Bogota,approved,,False
live_202608311000_63,2026-08-31 10:00:00,Merchant_B,Adyen,card,MX,Citibanamex,approved,,False
live_202608311000_64,2026-08-31 10:00:00,Merchant_C,Stripe,cash_in_store,MX,,approved,,False
live_202608311000_65,2026-08-31 10:00:00,Merchant_B,Stripe,card,CO,Bancolombia,approved,,False
live_202608311000_66,2026-08-31 10:00:00,Merchant_A,Adyen,wallet,BR,,approved,,False
live_202608311000_67,2026-08-31 10:00:00,Merchant_C,dLocal,cash_in_store,MX,,approved,,False
live_202608311000_68,2026-08-31 10:00:00,Merchant_B,dLocal,card,MX,Banorte,approved,,False
live_202608311000_69,2026-08-31 10:00:00,Merchant_A,dLocal,card,BR,Nubank,approved,,False
live_202608311000_70,2026-08-31 10:00:00,Merchant_A,dLocal,card,CO,Banco de Bogota,approved,,False
live_202608311000_71,2026-08-31 10:00:00,Merchant_B,dLocal,PSE,CO,,declined,DO_NOT_HONOR,False
live_202608311000_72,2026-08-31 10:00:00,Merchant_A,Stripe,PIX,BR,,approved,,False
live_202608311000_73,2026-08-31 10:00:00,Merchant_A,Stripe,card,CO,Banco de Bogota,declined,DO_NOT_HONOR,False
live_202608311000_74,2026-08-31 10:00:00,Merchant_A,dLocal,wallet,CO,,approved,,False
live_202608311000_75,2026-08-31 10:00:00,Merchant_C,Stripe,card,MX,Santander,approved,,False
live_202608311000_76,2026-08-31 10:00:00,Merchant_B,dLocal,card,BR,Banco do Brasil,approved,,False
live_202608311000_77,2026-08-31 10:00:00,Merchant_B,Adyen,wallet,MX,,approved,,False
live_202608311000_78,2026-08-31 10:00:00,Merchant_A,dLocal,wallet,MX,,approved,,False
live_202608311000_79,2026-08-31 10:00:00,Merchant_B,dLocal,card,BR,Bradesco,approved,,False
live_202608311000_80,2026-08-31 10:00:00,Merchant_A,Adyen,card,MX,Banorte,approved,,False
live_202608311000_81,2026-08-31 10:00:00,Merchant_B,dLocal,card,BR,Nubank,approved,,False
live_202608311000_82,2026-08-31 10:00:00,Merchant_C,Stripe,card,CO,Davivienda,approved,,False
live_202608311000_83,2026-08-31 10:00:00,Merchant_B,Adyen,card,CO,Bancolombia,approved,,False
live_202608311000_84,2026-08-31 10:00:00,Merchant_A,Adyen,PSE,CO,,approved,,False
live_202608311000_85,2026-08-31 10:00:00,Merchant_B,Adyen,wallet,BR,,approved,,False
live_202608311000_86,2026-08-31 10:00:00,Merchant_C,Adyen,card,MX,Banorte,approved,,False
live_202608311000_87,2026-08-31 10:00:00,Merchant_B,Stripe,cash_in_store,MX,,approved,,False
live_202608311000_88,2026-08-31 10:00:00,Merchant_C,Adyen,wallet,CO,,declined,DO_NOT_HONOR,False
live_202608311000_89,2026-08-31 10:00:00,Merchant_A,Adyen,card,BR,Nubank,approved,,False
