transaction_id,timestamp,merchant,provider,payment_method,country,issuing_bank,status,decline_code,amount,currency,retry_flag,original_transaction_id,recovered_after_retry,processing_time_ms,amount_usd
tx_0c4d285dc2f6,2026-06-30 10:29:01.064998,Merchant_A,Stripe,wallet,BR,,approved,,359.47,BRL,False,,False,299,71.89
tx_692ce1b1018b,2026-06-30 10:30:44.744998,Merchant_A,dLocal,card,MX,BBVA,approved,,1223.84,MXN,False,,False,622,67.31
tx_9a47533f08b4,2026-06-30 10:32:28.424998,Merchant_A,Stripe,card,MX,Santander,approved,,782.92,MXN,False,,False,292,43.06
tx_8bfc368e94ae,2026-06-30 10:34:12.104998,Merchant_C,Stripe,cash_in_store,MX,,approved,,1689.61,MXN,False,,False,367,92.93
tx_78e5ea2dd419,2026-06-30 10:35:55.784998,Merchant_B,Stripe,PIX,BR,,approved,,204.88,BRL,False,,False,350,40.98
tx_319eb9bdeb81,2026-06-30 10:37:39.464998,Merchant_A,dLocal,wallet,MX,,approved,,668.29,MXN,False,,False,384,36.76
tx_8d81ee826e98,2026-06-30 10:39:23.144998,Merchant_A,Adyen,card,MX,BBVA,approved,,1020.98,MXN,False,,False,187,56.15
tx_b09cedcffdeb,2026-06-30 10:41:06.824998,Merchant_B,dLocal,PSE,CO,,approved,,12000.0,COP,False,,False,372,3.0
tx_29d6f43c58ee,2026-06-30 10:42:50.504998,Merchant_B,dLocal,card,BR,Banco do Brasil,approved,,117.95,BRL,False,,False,477,23.59
tx_e15541f59c83,2026-06-30 10:44:34.184998,Merchant_C,dLocal,PSE,CO,,approved,,56438.31,COP,False,,False,270,14.11
tx_b7e51c7fcb05,2026-06-30 10:46:17.864998,Merchant_A,Stripe,wallet,BR,,approved,,514.5,BRL,False,,False,293,102.9
tx_db568d2f5b39,2026-06-30 10:48:01.544998,Merchant_A,Stripe,card,CO,Davivienda,approved,,124726.97,COP,False,,False,203,31.18
tx_2c8558697a77,2026-06-30 10:49:45.224998,Merchant_B,Stripe,PIX,BR,,approved,,192.9,BRL,False,,False,318,38.58
tx_15d0ea1b2e45,2026-06-30 10:51:28.904998,Merchant_B,dLocal,wallet,BR,,approved,,95.84,BRL,False,,False,485,19.17
tx_ce10ae51fe69,2026-06-30 10:53:12.584998,Merchant_C,Stripe,wallet,BR,,approved,,183.9,BRL,False,,False,288,36.78
tx_bf2aaef2f978,2026-06-30 10:54:56.264998,Merchant_B,Adyen,wallet,MX,,declined,DO_NOT_HONOR,599.15,MXN,False,,False,526,32.95
tx_c369af753679,2026-06-30 10:56:39.944998,Merchant_A,Stripe,wallet,MX,,approved,,893.25,MXN,False,,False,230,49.13
